time,temperature_2m,relative_humidity_2m,windspeed_10m
2024-05-01T00:00,14.70,75,6.10
2024-05-01T01:00,13.50,80,5.50
2024-05-01T02:00,12.80,83,4.80
2024-05-01T03:00,12.30,86,7.40
2024-05-01T04:00,12.30,88,9.30
2024-05-01T05:00,12.20,88,9.50
2024-05-01T06:00,11.90,90,8.60
2024-05-01T07:00,11.90,90,8.30
2024-05-01T08:00,13.90,83,9.00
2024-05-01T09:00,16.50,81,7.70
2024-05-01T10:00,19.50,72,9.20
2024-05-01T11:00,22.00,60,11.30
2024-05-01T12:00,23.50,50,13.80
2024-05-01T13:00,25.20,43,14.10
2024-05-01T14:00,26.30,43,15.10
2024-05-01T15:00,27.00,45,15.20
2024-05-01T16:00,27.20,45,14.80
2024-05-01T17:00,26.60,48,13.00
2024-05-01T18:00,26.00,51,12.30
2024-05-01T19:00,24.80,61,5.10
2024-05-01T20:00,23.30,74,4.80
2024-05-01T21:00,21.80,71,5.40
2024-05-01T22:00,19.90,81,6.00
2024-05-01T23:00,18.50,87,6.90
2024-05-02T00:00,18.40,86,4.90
2024-05-02T01:00,17.30,89,8.40
2024-05-02T02:00,16.50,91,7.00
2024-05-02T03:00,15.90,92,4.10
2024-05-02T04:00,14.80,94,4.90
2024-05-02T05:00,15.10,91,4.70
2024-05-02T06:00,13.90,93,3.70
2024-05-02T07:00,14.10,92,4.70
2024-05-02T08:00,16.00,86,7.20
2024-05-02T09:00,18.80,74,8.50
2024-05-02T10:00,21.50,67,8.10
2024-05-02T11:00,24.00,61,8.20
2024-05-02T12:00,26.10,54,8.80
2024-05-02T13:00,27.70,46,10.40
2024-05-02T14:00,28.40,43,10.90
2024-05-02T15:00,28.90,42,10.60
2024-05-02T16:00,29.20,41,10.50
2024-05-02T17:00,29.10,42,10.20
2024-05-02T18:00,28.70,42,9.10
2024-05-02T19:00,27.30,48,6.10
2024-05-02T20:00,25.00,55,8.40
2024-05-02T21:00,22.70,69,4.50
2024-05-02T22:00,21.50,76,5.40
2024-05-02T23:00,22.90,61,5.40
2024-05-03T00:00,20.10,76,8.50
2024-05-03T01:00,19.30,81,7.60
2024-05-03T02:00,19.10,81,7.60
2024-05-03T03:00,18.80,79,7.60
2024-05-03T04:00,18.60,77,6.80
2024-05-03T05:00,18.20,77,7.40
2024-05-03T06:00,17.90,78,6.90
2024-05-03T07:00,17.80,79,7.40
2024-05-03T08:00,18.70,79,11.50
2024-05-03T09:00,20.10,78,2.80
2024-05-03T10:00,20.40,80,2.40
2024-05-03T11:00,21.40,77,4.30
2024-05-03T12:00,23.10,70,7.40
2024-05-03T13:00,24.00,65,9.70
2024-05-03T14:00,24.70,61,9.30
2024-05-03T15:00,25.10,56,9.80
2024-05-03T16:00,22.00,76,11.90
2024-05-03T17:00,23.00,70,1.40
2024-05-03T18:00,23.00,71,3.90
2024-05-03T19:00,20.30,86,8.00
2024-05-03T20:00,19.80,90,7.70
2024-05-03T21:00,19.20,88,1.60
2024-05-03T22:00,17.40,95,4.30
2024-05-03T23:00,17.10,97,5.00
2024-05-04T00:00,17.30,97,4.70
2024-05-04T01:00,17.10,97,4.70
2024-05-04T02:00,17.10,97,4.40
2024-05-04T03:00,16.90,97,6.00
2024-05-04T04:00,16.80,97,3.60
2024-05-04T05:00,16.80,97,5.40
2024-05-04T06:00,16.50,97,3.40
2024-05-04T07:00,16.70,97,7.10
2024-05-04T08:00,17.30,97,7.10
2024-05-04T09:00,18.20,94,11.80
2024-05-04T10:00,20.00,84,8.00
2024-05-04T11:00,20.60,83,10.40
2024-05-04T12:00,21.40,79,12.70
2024-05-04T13:00,22.00,79,10.40
2024-05-04T14:00,23.20,72,9.70
2024-05-04T15:00,19.80,90,12.80
2024-05-04T16:00,21.60,82,9.70
2024-05-04T17:00,21.20,84,7.80
2024-05-04T18:00,22.20,80,10.00
2024-05-04T19:00,20.30,85,9.90
2024-05-04T20:00,19.50,91,8.40
2024-05-04T21:00,18.90,98,9.70
2024-05-04T22:00,18.10,97,8.30
2024-05-04T23:00,17.60,98,10.70
2024-05-05T00:00,17.50,97,11.40
2024-05-05T01:00,17.50,97,12.00
2024-05-05T02:00,17.50,98,11.60
2024-05-05T03:00,17.30,97,10.30
2024-05-05T04:00,16.80,98,7.40
2024-05-05T05:00,16.50,98,7.60
2024-05-05T06:00,16.30,98,8.20
2024-05-05T07:00,16.10,98,8.80
2024-05-05T08:00,16.70,97,9.80
2024-05-05T09:00,18.80,91,7.10
2024-05-05T10:00,20.40,79,6.80
2024-05-05T11:00,22.10,70,6.90
2024-05-05T12:00,23.10,68,7.20
2024-05-05T13:00,23.90,64,7.90
2024-05-05T14:00,24.40,60,9.70
2024-05-05T15:00,24.00,60,10.00
2024-05-05T16:00,24.60,57,10.40
2024-05-05T17:00,24.80,55,12.60
2024-05-05T18:00,24.50,57,11.30
2024-05-05T19:00,23.70,61,9.20
2024-05-05T20:00,22.00,70,5.90
2024-05-05T21:00,20.70,74,6.20
2024-05-05T22:00,19.80,77,4.70
2024-05-05T23:00,18.80,78,9.40
2024-05-06T00:00,17.80,79,10.30
2024-05-06T01:00,16.90,81,9.30
2024-05-06T02:00,16.60,82,8.70
2024-05-06T03:00,16.20,85,8.90
2024-05-06T04:00,16.20,87,8.40
2024-05-06T05:00,16.10,89,7.50
2024-05-06T06:00,16.00,91,6.90
2024-05-06T07:00,16.00,93,7.30
2024-05-06T08:00,16.60,93,6.90
2024-05-06T09:00,17.00,94,4.50
2024-05-06T10:00,17.60,95,5.10
2024-05-06T11:00,18.40,94,4.30
2024-05-06T12:00,21.00,82,6.40
2024-05-06T13:00,23.10,69,8.30
2024-05-06T14:00,24.40,63,10.30
2024-05-06T15:00,22.00,77,10.70
2024-05-06T16:00,20.20,90,1.50
2024-05-06T17:00,22.20,82,7.70
2024-05-06T18:00,20.50,86,6.30
2024-05-06T19:00,19.20,92,7.90
2024-05-06T20:00,18.70,93,9.20
2024-05-06T21:00,18.70,92,9.40
2024-05-06T22:00,18.00,93,9.80
2024-05-06T23:00,17.60,93,9.10
2024-05-07T00:00,17.20,94,8.00
2024-05-07T01:00,15.50,97,7.60
2024-05-07T02:00,15.50,98,4.60
2024-05-07T03:00,15.70,99,4.10
2024-05-07T04:00,16.00,99,2.30
2024-05-07T05:00,16.00,100,2.90
2024-05-07T06:00,16.10,100,4.70
2024-05-07T07:00,16.20,100,5.20
2024-05-07T08:00,16.60,99,5.50
2024-05-07T09:00,17.40,99,9.20
2024-05-07T10:00,19.10,88,10.60
2024-05-07T11:00,21.00,77,11.80
2024-05-07T12:00,23.00,72,14.70
2024-05-07T13:00,23.20,74,10.90
2024-05-07T14:00,23.80,74,15.50
2024-05-07T15:00,24.30,72,17.60
2024-05-07T16:00,23.70,80,17.30
2024-05-07T17:00,25.20,71,19.90
2024-05-07T18:00,24.90,69,19.80
2024-05-07T19:00,24.00,75,18.10
2024-05-07T20:00,23.30,80,16.20
2024-05-07T21:00,21.00,86,12.00
2024-05-07T22:00,20.10,91,15.50
2024-05-07T23:00,19.80,92,14.70
2024-05-08T00:00,19.10,95,11.60
2024-05-08T01:00,18.70,94,16.60
2024-05-08T02:00,18.10,94,12.70
2024-05-08T03:00,17.70,96,7.90
2024-05-08T04:00,16.40,97,4.60
2024-05-08T05:00,16.20,98,6.80
2024-05-08T06:00,16.30,98,10.00
2024-05-08T07:00,16.20,99,8.40
2024-05-08T08:00,17.30,96,8.40
2024-05-08T09:00,18.70,92,5.60
2024-05-08T10:00,21.00,81,10.80
2024-05-08T11:00,22.80,74,9.40
2024-05-08T12:00,24.70,57,9.80
2024-05-08T13:00,25.80,50,7.40
2024-05-08T14:00,26.70,46,6.80
2024-05-08T15:00,27.50,43,7.30
2024-05-08T16:00,27.80,42,5.90
2024-05-08T17:00,27.70,42,5.40
2024-05-08T18:00,27.30,43,4.10
2024-05-08T19:00,26.90,47,2.30
2024-05-08T20:00,24.30,60,6.40
2024-05-08T21:00,22.00,64,9.70
2024-05-08T22:00,21.00,69,11.90
2024-05-08T23:00,19.50,73,8.70
2024-05-09T00:00,18.70,78,9.00
2024-05-09T01:00,18.60,82,8.00
2024-05-09T02:00,17.80,88,5.50
2024-05-09T03:00,17.10,92,5.40
2024-05-09T04:00,15.80,97,4.00
2024-05-09T05:00,15.60,98,4.30
2024-05-09T06:00,15.40,99,3.70
2024-05-09T07:00,15.60,98,7.80
2024-05-09T08:00,17.00,93,8.80
2024-05-09T09:00,17.90,85,7.60
2024-05-09T10:00,19.90,76,9.70
2024-05-09T11:00,21.20,69,13.90
2024-05-09T12:00,21.90,67,13.10
2024-05-09T13:00,20.70,77,14.30
2024-05-09T14:00,22.10,75,12.60
2024-05-09T15:00,24.00,65,19.20
2024-05-09T16:00,23.00,68,17.50
2024-05-09T17:00,23.40,71,18.40
2024-05-09T18:00,18.70,86,18.70
2024-05-09T19:00,19.00,83,15.40
2024-05-09T20:00,18.20,85,17.40
2024-05-09T21:00,15.20,89,15.10
2024-05-09T22:00,14.00,91,12.30
2024-05-09T23:00,13.00,90,14.30
2024-05-10T00:00,11.90,91,11.20
2024-05-10T01:00,11.70,87,11.20
2024-05-10T02:00,12.00,81,12.10
2024-05-10T03:00,12.00,77,11.10
2024-05-10T04:00,12.00,73,13.00
2024-05-10T05:00,11.80,72,11.60
2024-05-10T06:00,11.50,76,10.10
2024-05-10T07:00,11.00,78,13.50
2024-05-10T08:00,11.60,76,12.60
2024-05-10T09:00,12.40,70,11.70
2024-05-10T10:00,14.20,63,12.50
2024-05-10T11:00,15.50,58,13.30
2024-05-10T12:00,16.90,49,16.20
2024-05-10T13:00,17.80,44,18.80
2024-05-10T14:00,18.30,39,18.60
2024-05-10T15:00,18.90,37,20.10
2024-05-10T16:00,18.80,36,18.80
2024-05-10T17:00,18.70,35,18.00
2024-05-10T18:00,18.20,35,18.40
2024-05-10T19:00,17.50,37,14.30
2024-05-10T20:00,16.20,44,9.70
2024-05-10T21:00,13.70,68,6.10
2024-05-10T22:00,12.50,69,5.50
2024-05-10T23:00,11.80,66,5.90
2024-05-11T00:00,10.80,68,8.70
2024-05-11T01:00,11.50,63,8.40
2024-05-11T02:00,11.40,65,9.20
2024-05-11T03:00,11.40,72,9.20
2024-05-11T04:00,11.40,78,9.00
2024-05-11T05:00,11.40,80,11.40
2024-05-11T06:00,11.20,81,12.90
2024-05-11T07:00,11.00,83,13.40
2024-05-11T08:00,12.60,78,15.60
2024-05-11T09:00,13.70,78,13.90
2024-05-11T10:00,15.10,72,18.90
2024-05-11T11:00,17.50,64,21.40
2024-05-11T12:00,18.40,41,22.40
2024-05-11T13:00,18.90,38,24.50
2024-05-11T14:00,19.70,33,26.90
2024-05-11T15:00,19.70,33,25.50
2024-05-11T16:00,19.20,36,28.30
2024-05-11T17:00,19.30,36,26.90
2024-05-11T18:00,18.70,38,26.20
2024-05-11T19:00,17.90,42,21.30
2024-05-11T20:00,16.80,46,15.00
2024-05-11T21:00,15.00,56,8.50
2024-05-11T22:00,13.70,61,8.40
2024-05-11T23:00,12.80,65,7.30
2024-05-12T00:00,12.10,70,6.60
2024-05-12T01:00,11.40,77,5.10
2024-05-12T02:00,10.80,78,4.30
2024-05-12T03:00,10.00,82,4.30
2024-05-12T04:00,10.10,81,6.40
2024-05-12T05:00,9.50,82,7.50
2024-05-12T06:00,9.00,84,5.50
2024-05-12T07:00,8.70,85,5.90
2024-05-12T08:00,10.70,80,4.50
2024-05-12T09:00,13.90,69,1.10
2024-05-12T10:00,16.20,53,2.20
2024-05-12T11:00,17.80,43,2.20
2024-05-12T12:00,19.20,40,3.80
2024-05-12T13:00,20.20,40,6.50
2024-05-12T14:00,21.10,39,7.80
2024-05-12T15:00,21.90,38,7.60
2024-05-12T16:00,22.40,39,6.90
2024-05-12T17:00,22.50,40,7.30
2024-05-12T18:00,22.50,41,6.00
2024-05-12T19:00,22.10,45,4.00
2024-05-12T20:00,20.00,57,7.40
2024-05-12T21:00,17.70,57,11.30
2024-05-12T22:00,16.90,60,9.70
2024-05-12T23:00,15.60,66,10.20
2024-05-13T00:00,15.00,67,11.90
2024-05-13T01:00,14.60,70,11.50
2024-05-13T02:00,14.00,73,12.30
2024-05-13T03:00,13.50,75,11.70
2024-05-13T04:00,13.00,77,10.70
2024-05-13T05:00,12.60,78,10.50
2024-05-13T06:00,12.20,80,10.80
2024-05-13T07:00,12.20,80,10.50
2024-05-13T08:00,13.90,78,10.20
2024-05-13T09:00,16.90,72,9.00
2024-05-13T10:00,19.80,64,8.30
2024-05-13T11:00,22.50,52,12.40
2024-05-13T12:00,23.80,43,16.40
2024-05-13T13:00,24.60,40,17.30
2024-05-13T14:00,25.00,39,18.10
2024-05-13T15:00,24.50,40,16.90
2024-05-13T16:00,24.70,38,17.20
2024-05-13T17:00,24.70,38,15.50
2024-05-13T18:00,24.60,39,13.90
2024-05-13T19:00,23.80,44,11.10
2024-05-13T20:00,21.70,54,9.40
2024-05-13T21:00,19.40,66,12.20
2024-05-13T22:00,19.00,64,15.80
2024-05-13T23:00,18.10,64,15.40
2024-05-14T00:00,17.20,68,14.90
2024-05-14T01:00,16.70,72,12.90
2024-05-14T02:00,15.70,80,9.70
2024-05-14T03:00,14.70,87,8.40
2024-05-14T04:00,14.90,88,8.30
2024-05-14T05:00,15.20,87,7.20
2024-05-14T06:00,15.10,87,7.60
2024-05-14T07:00,15.10,88,8.70
2024-05-14T08:00,15.30,89,8.40
2024-05-14T09:00,16.10,91,8.70
2024-05-14T10:00,16.30,89,12.00
2024-05-14T11:00,17.50,83,9.80
2024-05-14T12:00,19.30,76,7.30
2024-05-14T13:00,19.30,77,8.80
2024-05-14T14:00,19.90,76,9.00
2024-05-14T15:00,20.40,74,9.20
2024-05-14T16:00,20.00,75,13.50
2024-05-14T17:00,19.90,76,10.50
2024-05-14T18:00,19.60,78,11.50
2024-05-14T19:00,19.10,82,10.90
2024-05-14T20:00,18.40,88,9.50
2024-05-14T21:00,17.10,91,7.60
2024-05-14T22:00,16.30,93,8.30
2024-05-14T23:00,16.00,94,10.70
2024-05-15T00:00,15.90,95,10.30
2024-05-15T01:00,15.70,96,11.50
2024-05-15T02:00,15.50,96,10.50
2024-05-15T03:00,15.20,96,10.70
2024-05-15T04:00,15.30,95,9.90
2024-05-15T05:00,14.90,96,7.10
2024-05-15T06:00,14.80,97,7.40
2024-05-15T07:00,15.00,97,9.40
2024-05-15T08:00,15.80,94,12.20
2024-05-15T09:00,17.50,91,8.20
2024-05-15T10:00,17.90,90,11.40
2024-05-15T11:00,19.20,84,10.40
2024-05-15T12:00,20.60,75,9.60
2024-05-15T13:00,18.70,82,16.50
2024-05-15T14:00,20.60,80,12.00
2024-05-15T15:00,20.40,78,17.10
2024-05-15T16:00,21.10,77,10.70
2024-05-15T17:00,21.90,68,13.60
2024-05-15T18:00,19.40,80,7.70
2024-05-15T19:00,20.30,79,8.60
2024-05-15T20:00,19.60,79,10.00
2024-05-15T21:00,18.60,77,11.20
2024-05-15T22:00,17.50,83,10.10
2024-05-15T23:00,16.90,86,10.10
2024-05-16T00:00,16.70,87,9.40
2024-05-16T01:00,16.30,88,10.20
2024-05-16T02:00,15.90,89,10.10
2024-05-16T03:00,15.30,91,8.30
2024-05-16T04:00,14.80,92,8.40
2024-05-16T05:00,14.20,93,7.30
2024-05-16T06:00,13.70,94,7.10
2024-05-16T07:00,13.50,95,6.30
2024-05-16T08:00,15.00,90,5.20
2024-05-16T09:00,16.90,82,5.50
